"tablescraper-selected-row href","lazy-image src","date","category","title","box_text"
"https://www.detik.com/jabar/pilkada/d-7563592/komitmen-dedi-mulyadi-dan-target-gerindra-di-tasikmalaya","https://akcdn.detik.net.id/community/media/visual/2024/09/29/cagub-jabar-dedi-mulyadi_43.jpeg?w=300&q=80","Minggu, 29 Sep 2024 15:50 WIB","detikJabar","Komitmen Dedi Mulyadi dan Target Gerindra di Tasikmalaya","Calon Gubernur Jabar Dedi Mulyadi raih 78,6% dukungan di Tasikmalaya. Dia berkomitmen dorong industri kreatif untuk perekonomian lokal."
"https://www.detik.com/jabar/pilkada/d-7562798/dedi-mulyadi-respons-santai-rumor-soal-patung-pohon-disarungin","https://akcdn.detik.net.id/community/media/visual/2024/09/28/cagub-jabar-nomor-urut-4-dedi-mulyadi-di-padalarang_43.jpeg?w=300&q=80","Sabtu, 28 Sep 2024 20:37 WIB","detikJabar","Dedi Mulyadi Respons Santai Rumor soal Patung-Pohon Disarungin","Dedi Mulyadi menanggapi santai isu negatif terkait patung dan pohon bersarung. Ia fokus pada konsolidasi Partai Golkar untuk Pilkada."
"https://www.detik.com/jabar/pilkada/d-7562557/dedi-mulyadi-dan-cita-citanya-soal-digitalisasi-museum-di-jabar","https://akcdn.detik.net.id/community/media/visual/2024/09/28/dedi-mulyadi-saat-mengunjungi-museum-kebudayaan-tionghoa-1_43.jpeg?w=300&q=80","Sabtu, 28 Sep 2024 17:45 WIB","detikJabar","Dedi Mulyadi dan Cita-citanya soal Digitalisasi Museum di Jabar","Calon Gubernur Jabar Dedi Mulyadi mengunjungi Museum Kebudayaan Tionghoa. Ia mendorong digitalisasi untuk edukasi generasi muda dan pengobatan tradisional."
"https://www.detik.com/jabar/pilkada/d-7560465/respons-kdm-diprediksi-dapat-suara-tertinggi-dalam-survei-poltracking","https://akcdn.detik.net.id/community/media/visual/2024/09/27/dedi-mulyadi-dan-erwan-setiawan_43.jpeg?w=300&q=80","Jumat, 27 Sep 2024 15:30 WIB","detikJabar","Respons KDM Diprediksi Dapat Suara Tertinggi dalam Survei Poltracking","Dedi Mulyadi diprediksi kuat di Pilgub Jabar 2024 dengan 65,9% suara. Ia bersyukur atas dukungan masyarakat dan siap buktikan hasil survei tersebut."
"https://www.detik.com/jabar/berita/d-7559890/blusukan-dedi-mulyadi-temui-warga-indramayu-tinggal-di-kandang-kambing","https://akcdn.detik.net.id/community/media/visual/2024/09/26/dedi-mulyadi-menemukan-warga-yang-tinggal-di-kandang-kambing-saat-blusukan-ke-indramayu_43.jpeg?w=300&q=80","Kamis, 26 Sep 2024 19:45 WIB","detikJabar","Blusukan Dedi Mulyadi Temui Warga Indramayu Tinggal di Kandang Kambing","Calon Gubernur Jabar, Dedi Mulyadi, menemukan warga Indramayu tinggal di kandang kambing. Teman-temannya urunan untuk membangun rumah layak bagi Kamsori."
"https://www.detik.com/jabar/pilkada/d-7558800/survei-sebut-elektabilitas-dedi-mulyadi-unggul-di-basis-merah-hijau-jabar","https://akcdn.detik.net.id/community/media/visual/2024/09/18/dedi-mulyadi-di-karawang_43.jpeg?w=300&q=80","Kamis, 26 Sep 2024 10:59 WIB","detikJabar","Survei Sebut Elektabilitas Dedi Mulyadi Unggul di Basis Merah-Hijau Jabar","Pamor Dedi Mulyadi sebagai calon gubernur Jawa Barat makin bersinar. Elektabilitasnya terus meroket meninggalkan tiga kandidat lainnya."
"","","","","10 Potret Dedi Mulyadi saat Bantu Penjual Makanan UMKM",""
"https://www.detik.com/jabar/pilkada/d-7555801/kata-dedi-mulyadi-soal-makna-angka-4-dalam-pilgub-jabar-2024","https://akcdn.detik.net.id/community/media/visual/2024/09/24/dedi-mulyadi-dan-erwan-setiawan-yang-maju-di-pilgub-jabar-2024_43.jpeg?w=300&q=80","Selasa, 24 Sep 2024 14:58 WIB","detikJabar","Kata Dedi Mulyadi soal Makna Angka 4 dalam Pilgub Jabar 2024","Dedi Mulyadi dan Erwan Setiawan, nomor urut 4 Pilgub Jabar 2024, mengusung filosofi Sunda. Dedi berkomitmen menjaga iklim politik damai dan anti isu SARA."
"https://www.detik.com/jabar/berita/d-7555146/tokoh-pewayangan-di-balik-nomor-urut-peserta-pilgub-jabar-2024","https://akcdn.detik.net.id/community/media/visual/2024/09/24/prosesi-pengambilan-nomor-urut-peserta-pilgub-jabar_43.jpeg?w=300&q=80","Selasa, 24 Sep 2024 12:30 WIB","detikJabar","Tokoh Pewayangan di Balik Nomor Urut Peserta Pilgub Jabar 2024","Kontestasi Pilgub Jabar 2024 menuju babak baru usai pengundian nomor urut empat pasangan calon. KPU Jabar menggabungkan budaya Wayang Golek dalam prosesnya."
"https://www.detik.com/jabar/pilkada/d-7553119/dedi-mulyadi-tak-persoalkan-nomor-urut-di-pilgub-jabar","https://akcdn.detik.net.id/community/media/visual/2024/09/12/bacagub-dedi-mulyadi_43.jpeg?w=300&q=80","Senin, 23 Sep 2024 09:00 WIB","detikJabar","Dedi Mulyadi Tak Persoalkan Nomor Urut di Pilgub Jabar","KPU Jabar menetapkan empat pasangan calon. Dedi Mulyadi siap hadapi pemilukada dengan santai, fokus pada sosialisasi dan partisipasi masyarakat."
"https://news.detik.com/pilkada/d-7552672/kpu-resmi-tetapkan-4-paslon-di-pilgub-jawa-barat","https://akcdn.detik.net.id/community/media/visual/2024/09/18/ilustrasi-pemungutan-suara_43.png?w=300&q=80","Minggu, 22 Sep 2024 17:13 WIB","detikNews","KPU Resmi Tetapkan 4 Paslon di Pilgub Jawa Barat","KPU Jawa Barat telah menetapkan empat pasangan calon yang akan bertanding dalam Pilgub Jabar 2024. Keempat paslon tersebut dinyatakan memenuhi syarat."
